MAC,FABRICANTE
E0-43-DB   ,"Shenzhen ViewAt Technology Co.,Ltd. "
E043DB     ,"Shenzhen ViewAt Technology Co.,Ltd. "
24-05-F5   ,Integrated Device Technology (Malaysia) Sdn. Bhd.
2405F5     ,Integrated Device Technology (Malaysia) Sdn. Bhd.
2C-30-33   ,NETGEAR
2C3033     ,NETGEAR
84-7E-40   ,Texas Instruments
847E40,Texas Instruments
78-C5-E5   ,Texas Instruments
78C5E5     ,Texas Instruments
D4-94-A1   ,Texas Instruments
D494A1     ,Texas Instruments
3C-33-00   ,"Shenzhen Bilian electronic CO.,LTD"
3C3300     ,"Shenzhen Bilian electronic CO.,LTD"
3C-D9-2B   ,Hewlett Packard
3CD92B     ,Hewlett Packard
9C-8E-99   ,Hewlett Packard
9C8E99     ,Hewlett Packard
B4-99-BA   ,Hewlett Packard
B499BA     ,Hewlett Packard
1C-C1-DE   ,Hewlett Packard
1CC1DE     ,Hewlett Packard
3C-35-56   ,Cognitec Systems GmbH
3C3556     ,Cognitec Systems GmbH
00-50-BA   ,D-Link Corporation
0050BA     ,D-Link Corporation
00-17-9A   ,D-Link Corporation
00179A     ,D-Link Corporation
1C-BD-B9   ,D-Link International
1CBDB9     ,D-Link International
90-94-E4   ,D-Link International
9094E4,D-Link International
28-10-7B   ,D-Link International
28107B     ,D-Link International
1C-7E-E5   ,D-Link International
1C7EE5     ,D-Link International
C4-A8-1D   ,D-Link International
C4A81D     ,D-Link International
18-62-2C   ,Sagemcom Broadband SAS
18622C     ,Sagemcom Broadband SAS
7C-03-D8   ,Sagemcom Broadband SAS
7C03D8     ,Sagemcom Broadband SAS
E8-F1-B0   ,Sagemcom Broadband SAS
E8F1B0     ,Sagemcom Broadband SAS
00-F8-71   ,DGS Denmark A/S
00F871     ,DGS Denmark A/S
D8-54-3A   ,Texas Instruments
D8543A     ,Texas Instruments
7C-8E-E4   ,Texas Instruments
7C8EE4     ,Texas Instruments
BC-0D-A5   ,Texas Instruments
BC0DA5     ,Texas Instruments
90-D7-EB   ,Texas Instruments
90D7EB     ,Texas Instruments
00-18-32   ,Texas Instruments
001832   ,Texas Instruments
20-BB-76   ,COL GIOVANNI PAOLO SpA
20BB76     ,COL GIOVANNI PAOLO SpA
2C-22-8B   ,CTR SRL
2C228B     ,CTR SRL
34-8A-AE   ,Sagemcom Broadband SAS
348AAE     ,Sagemcom Broadband SAS
C8-3E-99   ,Texas Instruments
C83E99     ,Texas Instruments
00-17-E5   ,Texas Instruments
1700000,Texas Instruments
00-17-EC   ,Texas Instruments
0017EC     ,Texas Instruments
FC-52-8D   ,Technicolor CH USA
FC528D     ,Technicolor CH USA
BC-EC-23   ,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD"
BCEC23     ,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD"
8C-E7-48   ,Private
8CE748     ,Private
F0-9C-E9   ,Aerohive Networks Inc.
F09CE9     ,Aerohive Networks Inc.
C4-13-E2   ,Aerohive Networks Inc.
C413E2     ,Aerohive Networks Inc.
AC-06-C7   ,ServerNet S.r.l.
